'ID;'2^ID;'decimal;'2^(ID+1)-1;'Total de Bits;'A = decimal * bits;'B = bits / decimal;'A / B;'Potência de 2?;'Bit mais significativo (MSB);'Bit menos significativo (LSB);'n % 2^ID (mod rápido);'Binário com padding;'Distância do início;'Distância do fim;'% entre início e fim;'Paridade de bits;'É primo?;'Meio aritmético;'Meio inferior;'Meio superior;'Média de bits no intervalo;'n & ex (AND);'n | ex (OR);'n ^ ex (XOR);'~n (NOT);'n << 1 (shift left);'n >> 1 (shift right);'Menor com mesmo total de bits;'Maior com mesmo total de bits
'58;'288230376151711744;'525070384258266191;'576460752303423487;'33;'17327322680522784303;'0,000000000;'275698908425123351909857570905391104;'0;'58;'0;'236840008106554447;'11101001001011011001011101110000111110010101011010001001111;'236840008106554447;'51390368045157296;'0,82170;'ímpar;'0;'432345564227567616,000;'432345564227567615;'432345564227567616;'59,000;'380955196182410319;'576460752303423487;'195505556121013168;'-525070384258266192;'1050140768516532382;'262535192129133095;'288230380446679039;'576460752236314624
'59;'576460752303423488;'1135041350219496382;'1152921504606846975;'32;'36321323207023884224;'0,000000000;'1288318866708097424654266540849364992;'0;'59;'1;'558580597916072894;'111111000000011110100001100000100101001101100111101110111110;'558580597916072894;'17880154387350593;'0,96898;'par;'0;'864691128455135232,000;'864691128455135231;'864691128455135232;'60,000;'846810974067784638;'1152921504606846975;'306110530539062337;'-1135041350219496383;'2270082700438992764;'567520675109748191;'576460754450907135;'1152921504338411520
'60;'1152921504606846976;'1425787542618654982;'2305843009213693951;'29;'41347838735940994478;'0,000000000;'2032870116686542760944990548549173248;'0;'60;'1;'272866038011808006;'1001111001001011010100011011101000010111101100100100100000110;'272866038011808006;'880055466595038969;'0,23667;'ímpar;'0;'1729382256910270464,000;'1729382256910270463;'1729382256910270464;'61,000;'1425787542618654982;'1729382256910270463;'303594714291615481;'-1425787542618654983;'2851575085237309964;'712893771309327491;'1152921504875282431;'2305843004918726656
'61;'2305843009213693952;'3908372542507822062;'4611686018427387903;'34;'132884666445265950108;'0,000000000;'15275375931029056796940884939695456256;'0;'61;'1;'1602529533294128110;'11011000111101010101000001111010110110000100011010101111101110;'1602529533294128110;'703313475919565841;'0,69499;'par;'0;'3458764513820540928,000;'3458764513820540927;'3458764513820540928;'62,000;'2755451037900975086;'4611686018427387903;'1856234980526412817;'-3908372542507822063;'7816745085015644124;'1954186271253911031;'2305843017803628543;'4611686018158952448
'62;'4611686018427387904;'8993229949524469768;'9223372036854775807;'36;'323756278182880911648;'0,000000000;'80878184925023902464960353160323399680;'0;'62;'3;'4381543931097081864;'111110011001110010111101111110110101100110011110110100000001000;'4381543931097081864;'230142087330306039;'0,95010;'par;'0;'6917529027641081856,000;'6917529027641081855;'6917529027641081856;'63,000;'6687386940310775816;'9223372036854775807;'2535985096543999991;'-8993229949524469769;'17986459899048939536;'4496614974762234884;'4611686052787126271;'9223372036720558080
'63;'9223372036854775808;'17799667357578236628;'18446744073709551615;'30;'533990020727347098840;'0,000000000;'316828158040436190947747170560853934080;'0;'63;'2;'8576295320723460820;'1111011100000101000111110010011110110000100100010001001011010100;'8576295320723460820;'647076716131314987;'0,92984;'par;'0;'13835058055282163712,000;'13835058055282163711;'13835058055282163712;'64,000;'13187981339150848724;'18446744073709551615;'5258762734558702891;'-17799667357578236629;'35599334715156473256;'8899833678789118314;'9223372037391646719;'18446744056529682432
'64;'18446744073709551616;'30568377312064202855;'36893488147419103231;'29;'886482942049861882795;'0,000000000;'934425691492721552682707149971221643264;'0;'64;'0;'12121633238354651239;'11010100000111000101100010011010100000101101100100110100001100111;'12121633238354651239;'6325110835354900376;'0,65712;'ímpar;'0;'27670116110564327424,000;'27670116110564327423;'27670116110564327424;'65,000;'21345005275209427047;'36893488147419103231;'15548482872209676184;'-30568377312064202856;'61136754624128405710;'15284188656032101427;'18446744073977987071;'36893488078699626496
'65;'36893488147419103232;'46346217550346335726;'73786976294838206463;'38;'1761156266913160757588;'0,000000000;'2147971881224030496059920676959031394304;'0;'65;'1;'9452729402927232494;'101000001100101110110101110100111100101011010111100011010111101110;'9452729402927232494;'27440758744491870737;'0,25622;'par;'0;'55340232221128654848,000;'55340232221128654847;'55340232221128654848;'66,000;'46346217550346335726;'55340232221128654847;'8994014670782319121;'-46346217550346335727;'92692435100692671452;'23173108775173167863;'36893488284858056703;'73786976294569771008
'66;'73786976294838206464;'132656943602386256302;'147573952589676412927;'31;'4112365251673973945362;'0,000000000;'17597864685926690711701895464641923907584;'0;'66;'1;'58869967307548049838;'1110011000011111100001000110101110000011001010000101100000110101110;'58869967307548049838;'14917008987290156625;'0,79784;'ímpar;'0;'110680464442257309696,000;'110680464442257309695;'110680464442257309696;'67,000;'95763455454967153070;'147573952589676412927;'51810497134709259857;'-132656943602386256303;'265313887204772512604;'66328471801193128151;'73786976295911948287;'147573952520956936192
'67;'147573952589676412928;'219898266213316039825;'295147905179352825855;'33;'7256642785039429314225;'0,000000000;'48355247483622415845864578008361247703040;'0;'67;'0;'72324313623639626897;'10111110101110110011100101000000110011010000111111000001010010010001;'72324313623639626897;'75249638966036786030;'0,49009;'ímpar;'0;'221360928884514619392,000;'221360928884514619391;'221360928884514619392;'68,000;'219898266213316039825;'221360928884514619391;'1462662671198579566;'-219898266213316039826;'439796532426632079650;'109949133106658019912;'147573952593971380223;'295147905144993087488
